,label,news_report
723998,Tech,Slowdown to end by Oct-Dec: CIOs
724558,Tech,50% IT employees unwell: Assocham
724570,Tech,IT Q4: What may go wrong
724613,Tech,IT lay offs in US still lower than '02
724643,Tech,8 alternatives to Microsoft Office
724665,Tech,Why Chinese phones face death
725175,Tech,TCS bags $80m deal from UK company
725217,Tech,Wipro sacks 33 employees
725229,Tech,US body wants more H-1Bs
725258,Tech,No mainstream XP support from Apr 14
725355,Business,Youngest user of fairness creams is just 12
725356,Business,Youngest user of fairness creams is just 12
725357,Business,Youngest user of fairness creams is just 12
725867,Tech,Microsoft fined on pricing
725873,Tech,IBM bags $242 mn Sun Life deal
725907,Tech,TSMC hiring over hundred for R&D
725964,Tech,Top websites to manage your finances
726004,Tech,LG launches 3 music phones
726563,Tech,TCS; Wipro; Infy hiring: Forbes
726592,Tech,TCS cuts 10% staff at UK office
726637,Tech,Buying a laptop? Some cheap options
726663,Tech,7 biggest PC threats
726675,Tech,Satyam limiting litigation liability
727247,Tech,IT cos must hire US locals: Nasscom
727254,Tech,How to avoid that PC pain
727491,Tech,Has Cyber warfare begun?
727493,Tech,How IBM is hurting TCS; Infy; Wipro
727494,Tech,Microsoft MyPhone vs Nokia Ovi
728510,Tech,More job cuts at IBM
728524,Tech,BT plans to axe another 10;000 jobs
728581,Tech,How's and why's of satellite radio
728610,Tech,Satyam claims major clients' support
728624,Tech,Twitter users face Mikeyy's ire
729174,Tech,Timeline of events at Satyam
729206,Tech,Microsoft's free training for jobless
729219,Tech,BT opens security centre in India
729240,Tech,A to Z of Satyam-Tech Mahindra deal
729248,Tech,No free coffee for IBMers from May 1
729292,Tech,10 challenges before Tech Mahindra
729829,Tech,Microsoft to unveil new email server
729849,Tech,Intel posts strong profit
729919,Tech,Infy: Present perfect; future tense
729952,Tech,Nokia launches E75 in India
729958,Tech,Phone prices propping mobile numbers
730461,Tech,Infosys cuts variable pay
730528,Tech,IBM wins $372 mn deal
730587,Tech,Nokia 'voluntary resign' offer a hit
730611,Tech,Meet Infosys' highest-paid execs
730613,Tech,Cisco could announce 10% layoffs
731204,Tech,Google Q1 profit rises 8.9%
731243,Tech,IBM not keen on Sun anymore: Report
731245,Tech,Sony Ericsson launches music phone
731281,Tech,Sony Ericsson to cut 2;000 more jobs
731326,Tech,How to organise your Outlook Mail
731868,Tech,China to approach Infosys; TCS
731879,Tech,No Office 2010 beta for general users
732074,Tech,10% of Satyam staff redundant
732516,Tech,How to make your password safe
732517,Tech,Review: BlackBerry App World
732518,Tech,Tips for safe online shopping
733054,Tech,Infosys' 9 pain points
733064,Tech,Windows7: What users taught Microsoft
733114,Tech,Meet Obama's Indian-American CTO
733159,Tech,TechM: Satyam to be standalone unit
733169,Tech,Indian BPO growth story continues
733177,Tech,Oracle buys Sun Micro for $7.4 bn
733698,Tech,TCS' new mantra: Cost-cutting
733716,Tech,Oracle-Sun deal may see job cuts
733730,Tech,Layoffs at Satyam last option: TechM
733752,Tech,IT Inc to face 3.5 mn manpower crunch
733774,Tech,Google rolls out new search features
733784,Tech,How TCS fared in fiscal year 2008-09
733914,Tech,Oracle+Sun= IBM killer or Sun killer?
734339,Tech,Yahoo to cut 700 more jobs
734355,Tech,iGate freezes hiring till Q3
734356,Tech,HCL Tech Q3 net falls 36%
734409,Tech,Wipro succumbs to slowdown
734485,Tech,Premji terms FY2008-09 worst-ever
734499,Tech,Oracle-Sun deal: Pros and cons
734552,Business,It's a new kind of 'rat'h race
734571,Business,Slumdog trust hires social worker for Rubina
734572,Business,Slumdog trust hires social worker for Rubina
734576,Business,Slumdog trust hires social worker for Rubina
734577,Business,Slumdog trust hires social worker for Rubina
735003,Tech,HCL Tech not to make campus offers?
735006,Tech,India leads in IT export: World Bank
735035,Tech,Google Q1: Five negatives
735043,Tech,Wipro Q4: The story behind numbers
735112,Tech,Microsoft not keen on hardware cos
735634,Tech,Microsoft reports first revenue fall
735668,Tech,Yahoo to shut down GeoCities
735702,Tech,Microsoft sees recovery in 2-4 years
735709,Tech,Worst technology CEOs
735714,Tech,Bluetooth 3.0 to be 10 times faster
735715,Tech,20 years of Nintendo's Game Boy
735716,Tech,Lost your credit card? Here's help
735717,Tech,IT cos discover being miser helps!
735718,Tech,6 golden rules of Sexting
735727,Tech,TCS aims to double India revenues
736232,Tech,Windows 7 coming next week
736246,Tech,Conficker attacks thousands of PCs
736249,Tech,For Infosys; its time to refine biz
737315,Tech,Yahoo to hire 150 in India
737317,Tech,TCS to move staff back to India
737333,Tech,Who got the fattest hike at Infosys
737409,Tech,IT may see 1 lakh job cuts by Sept
737433,Tech,Samsung unveils Google phone
737937,Tech,In pics: HP's new biz laptops
737994,Tech,America's biggest technology companies
737996,Tech,Nokia to cut 400 more jobs
738002,Tech,Infosys sabbatical finds few takers
738008,Tech,Wipro BPO to hire 1200
738581,Tech,Adobe freezes pay; cuts variable
738643,Tech,Samsung launches LED TV in India
738647,Tech,10 most confusing tech jargons
738653,Tech,Yahoo India lays off 60
738664,Tech,5 recovery signs in chip industry
738679,Tech,SAP's Q1 misses forecasts
739317,Tech,Apple hiring semiconductor pros
739326,Tech,Wipro sacks more on non-performance
739372,Tech,Ericsson Q1 profit falls; to cut jobs
739413,Tech,Buying a laptop? Look beyond specs
739420,Tech,HCL signs outsourcing deal with UTi
739917,Tech,Google is first $100 bn brand
739957,Tech,Windows 7 trial run begins
739978,Tech,Wipro eyeing European buys
739992,Tech,Sexiest babes of action games
740006,Tech,Top 10 technology brands
740042,Tech,Hows and whys of Internet fraud
740048,Tech,Recession: CXOs who 'lost' their jobs
740054,Tech,Satyam paid extra corporate tax
740061,Tech,Freescale to fire 250 in Bangalore
740070,Tech,Silicon Valley has been toppled
740495,Tech,Facebook hit by phishing attack
740496,Tech,Now; virtual bench to avoid layoffs
740648,Tech,6 hot new iPhone games
740649,Tech,Game withdrawn after Muslim protest!
740650,Tech,Is Twitter full of imposters?
741542,Tech,Satyam fraud was work of art
741583,Tech,US gains from H-1Bs
741618,Tech,Sexting can harm your future
741626,Tech,9 tech CEOs of Tomorrow
741639,Tech,Govt to meet IT cos over tax issue
742172,Tech,Google rolls out Internet bus
742190,Tech,8 new features in Windows 7
742215,Tech,Infy to Europe: Immigrate or outsource
742251,Tech,Wipro bags Unitech Wireless deal
742288,Tech,Tax plan not to hit Indian IT: Nasscom
742859,Tech,Microsoft's layoff email to employees
742872,Tech,How tax plan will help Infy; TCS; Wipro
742915,Tech,Obama plan upsets Indian techies
742930,Tech,Indian IT on Obama tax plan
742943,Tech,Internet to die by 2010
742995,Tech,3 reasons why Sun 'failed'
743001,Tech,BJP: No outsourcing; no nuclear deal
744144,Tech,Azim Premji: Obama tax plan worrying
744146,Tech,Wipro seeing revival signs
744177,Tech,Oracle CEO on Sun Micro future
744216,Tech,Nasscom will not demand H-1Bs
744227,Tech,Yahooites living with 'hope & fear'
744237,Tech,Find out if your Windows 7 genuine
744249,Tech,6 hot new iPhone games
744845,Tech,Meet Net's big; new knowledge engine
744850,Tech,Facebook now in six Indian languages
745331,Tech,If everything was made by Microsoft
745332,Tech,Is Atom's growth hurting Intel?
745333,Tech,Yahooites living with 'hope & fear'
745874,Tech,Infy drops Satyam from rivals list
745879,Tech,Best IT workplaces in India
745888,Tech,Obama's tax not to impact BPOs: E&Y
745933,Tech,Samsung launches 3 touchscreen phones
745939,Tech,Intel may face $1.36 bn fine
745940,Tech,8 reasons IT Inc shouldn't fear Obama
745958,Tech,Microsoft to fire 55 India employees
746531,Tech,SAP sees signs of recovery
746560,Tech,Intel-AMD rivalry: 5 key facts
746563,Tech,Nortel opens center in Bangalore
746609,Tech,Top 10 web scandals
746620,Tech,Microsoft may lay off more: CEO
747187,Tech,Microsoft PowerPoint under attack
747240,Tech,In pics: iPhone 3G gold
747264,Tech,EU fines Intel $1.45 billion
747292,Tech,In Pics: Apple's new iPod Shuffle
747297,Tech,Satyam loses four top execs
747848,Tech,TCS bags 5-year deal from Volkswagen
747851,Tech,Wipro unit bags $34 mn deal
747881,Tech,Seagate to cut 1100 jobs
747883,Tech,BT plans to cut 15;000 more jobs
747885,Tech,IBM upbeat on full-year profit
747963,Tech,India's top 20 Web 2.0 sites
747974,Tech,Samsung launches mini notebooks
747981,Tech,Canon to invest Rs 100 cr in India
748533,Tech,Glitch disrupts Gmail again
748537,Tech,Buying a laptop? Some cheap options
748548,Tech,Facebook users under phishing attack
748597,Tech,Restricting H-1B to hurt US economy
748601,Tech,HP recalls 70;000 laptop batteries
748607,Tech,6 things troubling Sony
749228,Tech,User's guide to Windows 7
749382,Tech,Aegis buys Aussie BPO for Rs 200 cr
749422,Tech,Toshiba sues Imation over DVD patents
749866,Tech,Check if you are a cellphone addict?
749867,Tech,Social networks 'helping' Al Qaidas
749869,Tech,Review: Search engine WolframAlpha
749886,Tech,Game withdrawn after Muslim protest!
749887,Tech,6 hot new iPhone games
749888,Tech,Is Twitter full of imposters?
750329,Tech,Each Infy employee worth Rs 97 lakh
750334,Tech,IT Q4: How TCS; Infy; Wipro fared
750369,Tech,IT Inc wants govt to reboot sector
750416,Tech,TCS opens centre in Lucknow
750420,Tech,8 things IT Inc wishes from UPA govt
750431,Tech,Infosys sees demand picking by 2010
750436,Tech,Ugly infighting at Motorola revealed
750456,Tech,Truth behind Motorola's CFO's firing
750969,Tech,Infosys to cancel home loan facility
750983,Tech,Nokia unveils cheapest 3G phone
751022,Tech,Headcount @ IT cos: Up; down or static
751039,Tech,Nokia to cut 490 more jobs
751042,Tech,In pics: Nokia's new low-cost phones
751062,Tech,LG unveils world's 'thinnest' LCD TV
751584,Tech,HP to cut 6;400 jobs
751629,Tech,Panasonic to cut top execs' pay 30%
751646,Tech,Microsoft new search engine next week
751650,Tech,Microsoft; Google hiring in India
751690,Tech,Highest paid execs at Wipro
751749,Tech,Microsoft's new 'Google killer' soon
751751,Tech,Recovery tough for cellphone cos
752262,Tech,Apple warns of shock from iPhone; iPod
752267,Tech,Microsoft to pay $200 mn fine
752282,Tech,Satyam losing more clients
752330,Tech,Infosys to hire 1;000 in US
752390,Tech,8 new features in Gmail
752394,Tech,TCS sees stability in BFSI sector
752399,Tech,Wipro too drops Satyam from rivals
752401,Tech,Premji gets pay cut; top execs hike
752923,Tech,Gates: Tech can pull US out of crisis
752988,Tech,TCS: Re appreciation not hurting
752998,Tech,6 things worrying Indian IT
753006,Tech,Imams OKs Facebook; but no flirting!
753009,Tech,How to boost life of your DVDs; USBs
753010,Tech,Behind Patni's long search for a CEO
753011,Tech,Indian IT industry: Key facts
753012,Tech,How to book holiday online
753558,Tech,Airtel launches Net PC @ Rs 8;000
753580,Tech,How will tech execs spend $1 million
754587,Tech,Satyam may sack 8K non-billable staff
754590,Tech,How to boost Windows XP performance
754599,Tech,Wipro: World Bank report to affect biz
754616,Tech,How to avoid Facebook phishing scam
754649,Tech,How will third-gen iPhone look like
754674,Tech,Infosys BPO starts hiring again
755182,Tech,Nokia rolls out Apple App Store rival
755236,Tech,Decoding the proposed Bharti-MTN deal
755241,Tech,Nikon to cut 1;000 jobs
755263,Tech,HP recalls 15;000 laptop batteries
755281,Tech,Unveiling Nokia 6208 Classic
755291,Tech,Google's new search rival
755307,Tech,Satyam needs CVC nod for PSU bids
755750,Tech,Wipro expanding in Middle East
755783,Tech,TCS CEO S Ramadorai gets extension
755808,Tech,BT cancels pay hikes; cuts bonuses
755813,Tech,Nokia Ovi Store: A 360 degree view
755823,Tech,IT recovery: Mirage or reality?
755838,Tech,Infosys: Deal pipeline strong
755851,Tech,US tax plan: Accenture to move Ireland
756357,Tech,Satyam's Australia chief quits
756372,Tech,IBM sues exec for joining Dell
756407,Tech,10 biggest technology failures
756415,Tech,BlackBerry gets an Indian rival
756422,Tech,Finmin mulls Satyam special audit
756935,Tech,Microsoft's new rival to Google: Bing
756960,Tech,Infosys sees recovery by mid-2010
757031,Tech,6 Hot portable operating systems
757034,Tech,TechM may close some Satyam offices
757529,Tech,Windows 7 Starter: 3 app limit goes
758070,Tech,Sony's 3 new entertainment phones
758071,Tech,Cheap notebooks may not help PC cos
758072,Tech,How recession is changing videogames
758557,Tech,'Govt won't let Satyam lay off'
758606,Tech,Yahoo to finally shut Yahoo 360
758658,Tech,10 riskiest outsourcing locations
758672,Tech,What's new in Google Chrome
758674,Tech,Samsung unveils 12 megapixel phone
758712,Tech,Tech majors set to prosper
759176,Tech,Raja promises extension of tax sops
759266,Tech,Nokia launches touchscreen phone N97
759273,Tech,Infosys' 3 loss-making subsidiaries
759282,Tech,Meet Bill Gates of tomorrow
759295,Tech,Porn glitch in Microsoft Bing
759840,Tech,Sony unveils new PSP
759843,Tech,Wipro: GM bankruptcy not to hurt
759904,Tech,No sex for Indians on Microsoft Bing
759920,Tech,India's most dangerous search terms
759922,Tech,Bharti; MTN deal to see $6.9 bn debt
759926,Tech,MTNL offers 3G prepaid for Rs 300
759931,Tech,PalmPre: Doing what iPhone 'couldn't'
760421,Tech,US tax plan: Microsoft to move jobs
760445,Tech,N97 to be launched under-34K
760473,Tech,Aegis BPO to up headcount by 12;000
760488,Tech,In pics: Nokia N97
760493,Tech,US down; India shows hope to Wipro
760507,Tech,Google; Microsoft hiring under scanner
760514,Tech,Infosy's US share to shrink
761009,Tech,Satyam may lay off 5;000
761037,Tech,Booth babes and buzz at E3
761067,Tech,Microsoft Bing's 5 copied features
761091,Tech,'Wikipedia' for porn launched
761103,Tech,What's new in Google Chrome
761104,Tech,Five laws of security and SMBs
761105,Tech,Now; a software to change sex!
761106,Tech,Facebook; MySpace face local rivals
761107,Tech,Inside Palm Pre; iPhone's new rival
761113,Tech,15 IT firms to set up shop in Andhra
761608,Tech,Yahoo; eBay look to sell start-ups
761614,Tech,Sri Lanka next hot BPO destination?
762555,Tech,US protectionism: TCS hiring Americans
762559,Tech,Intel: Worst is over
762573,Tech,Motorola shutting Motomusic stores
762630,Tech,China wants porn-free PCs
762657,Tech,9 things you need to know about Bing
763145,Tech,Apple unveils new iPhone
763175,Tech,Infy BPO sees FY10 revenue up 10-15%
763180,Tech,IBM; EDS; Infosys win A$1.2 bn deal
763186,Tech,Tech cos set to upset Obama tax plan
763190,Tech,Over 2;000 Satyamites quit in Jan-Feb
763202,Tech,First look: Apple iPhone 3G S
763239,Tech,Google: India among 10 impactful mkts
763774,Tech,India to retaliate US protectionism
763804,Tech,2008: IT grows 8%; Desi cos struggle
763826,Tech,IT layoffs less than 1%: Nasscom
763839,Tech,Satyam refuses legal aid to ex-execs
763858,Tech,IT's Great Places to Work
764427,Tech,Microsoft unveiling free anti-virus
764453,Tech,HTC launches Touch Diamond2 in India
764501,Tech,Why you can buy tech stocks
764505,Tech,Infy plans buying clients' tech units
765026,Tech,Satyam puts over 7K on virtual bench
765034,Tech,US protectionism: Infy hires Americans
765049,Tech,TCS in China: Growing steadily
765051,Tech,9 disappointments in iPhone 3G S
765129,Tech,New companies outsourcing to India
766257,Tech,Inside Samsung's 12-megapixel phone
766258,Tech,How your mobile phone can hurt you
766259,Tech,5 things you can do with your router
766805,Tech,IT cos look at Japan for offshoring
766829,Tech,Top 5 global IT services vendors
766857,Tech,In pics: Nokia's new phones
766863,Tech,Yahoo bets high on India
766871,Tech,Satyam back in 100 most-valued cos
767353,Tech,Govt won't meddle in Satyam layoffs
767362,Tech,Sun Microsystems kills chip project
767405,Tech,Porn filter added to Microsoft Bing
767435,Tech,9 new technology centres in India
767459,Tech,BlackBerry Tour to rival iPhone 3G S
767990,Tech,MySpace cuts 30% workforce
768007,Tech,What Microsoft; Google; Nokia killed
768063,Tech,TCS: Demand picking up
768080,Tech,iPhone 3G S unlocked?
768098,Tech,What makes Geeks best at sex
768101,Tech,IBM to invest $100 mn in mobile R&D
768645,Tech,Import of Chinese phones banned
768659,Tech,Intel to phase out Centrino
768669,Tech,Bing dents Google's marketshare
768679,Tech,TCS eyeing e-governance deals
768693,Tech,5 reasons why domestic BPO's hot
768770,Tech,iPhone vs Pixon12 vs N97 vs Palm Pre
769235,Tech,TCS opens new center in Mexico
769237,Tech,Google attacked over porn
769297,Tech,10 biggest virus attacks
769313,Tech,Is Bing really biting into Google?
769340,Tech,Infy CEO on how to battle recession
769347,Tech,In pics: HP's new notebooks
769436,Tech,Satyam calls back virtual bench staff
769915,Tech,EMI woes for Satyamites
769916,Tech,Steve Jobs gets liver transplant
769929,Tech,Worst technology CEOs
770131,Tech,LG monitor can become virtual PC
770132,Tech,Microsoft MyPhone vs Nokia Ovi
771017,Tech,Microsoft shares super cheap
771031,Tech,Premji: Protectionism to bleed US
771067,Tech,Lower IT budgets to hit Infy's growth
771094,Tech,Microsoft Bing vs Google
771114,Tech,Google phone finally in India
771654,Tech,Wipro: Deal pipeline healthy
771667,Tech,In pics: HTC Magic in India
771737,Tech,Ram Mynampati of Satyam quits
771742,Tech,Firstsource bags Rs 1.45 bn Idea deal
771745,Tech,MySpace to shut 4 offices outside US
771764,Tech,What makes your email hackable
772307,Tech,Microsoft releases free anti-virus
772357,Tech,TCS passport project gets delayed
772361,Tech,9 things troubling Nokia
772401,Tech,Indian IT's top acquisitions
772407,Tech,Genpact eyes expansion in India
772910,Tech,Google goes offline in China
772931,Tech,Satyam to cut jobs if orders languish
772941,Tech,Tech's Top Gun CEOs
772960,Tech,Nilekani to step down at Infosys
773023,Tech,All about Nilekani's UID project
773563,Tech,Multibillion opportunity for IT cos
773594,Tech,Free Windows 7 for Vista buyers
773600,Tech,IBM accuses exec of misusing resources
773621,Tech,Fear's colour is pink for techies
773664,Tech,A to Z about Twitter
773683,Tech,Most awaited games of 2009
773684,Tech,What makes online games a rage
773685,Tech,Why Lenovo moved 'Delete' key
773692,Tech,Not Yahoo!'s job to 'fix China': CEO
773704,Tech,MJ's YouTube video is a spam
773705,Tech,How hackers break into your PC
774197,Tech,Who will replace Nilekani?
775233,Tech,6 iPhone misses for biz users
775259,Tech,Nilekani eyeing 'best talent'
775260,Tech,Judge allows ex-IBM exec to join Dell
775261,Tech,Recovery to begin soon: Google
775305,Tech,5 things that will boost IT Inc
775349,Tech,MSN web messenger retires in June
775869,Tech,Orders to climb next quarter: NEC
775871,Tech,Adobe in one-week US shut down
775914,Tech,Indian IT's highest-paid execs
775933,Tech,Hackers kill Britney Spears!
775946,Tech,Savitabhabhi goes; rescue attempts on
775968,Tech,Dell developing pocket web gadget
776518,Tech,New Firefox browser released
776527,Tech,TechM to deliver Satyam project
776528,Tech,Tech recovery to start in Q4
776547,Tech,Firefox 3.5's eight new features
776552,Tech,Rel Infra bags IT consultancy deal
776556,Tech,IT Inc wants better infrastructure
777184,Tech,Microsoft's Bing eating Google share
777185,Tech,YouTube doubles video file size
777189,Tech,TechM: Tightening control over Satyam
777201,Tech,CEO of 'poor' Sirius gets hike!
777768,Tech,Wipro warns against job mail scam
777786,Tech,Microsoft Bing adds Twitter search
777805,Tech,Oracle plans to lay off up to 1;000
777854,Tech,Shared PCs breed; spread germs
777855,Tech,30 years of Sony Walkman
777856,Tech,5 must-have SMS tips for pros
779538,Tech,Satyam regaining clients: CEO
779563,Tech,BT offers off time for pay cut
779620,Tech,IT Budget 2009: Highlights
779634,Tech,Tata Sons revoke TCS shares
779652,Tech,Rising Re to hurt IT cos
779681,Tech,STPI ext to help IT fight slowdown
779718,Tech,9 new technology centres in India
780088,Tech,Microsoft warns of new PC threat
780092,Tech,IBM bags $251.7 mn Carrefour deal
780107,Tech,Indian IT Inc on Budget
780168,Tech,Worst US cities for IT pros
780193,Tech,SMS ur way to nxt job
780218,Tech,Software theft to hit Goldman hard
780728,Tech,Gmail finally out of beta
780753,Tech,Google launching new operating system
780783,Tech,Cyber attacks paralyse key US sites
780792,Tech,Indian IT: Good times inching back?
780801,Tech,Inside Google's new OS
780816,Tech,LG not rolling back LCD price hike
781412,Tech,Google OS to bring down PC prices
781420,Tech,US web sites down for 3rd day
781479,Tech,6 reasons why Google OS may not work
781513,Tech,Intel to power dust-proof PCs
781530,Tech,TechM to hold 50.42% in Satyam
782075,Tech,Satyam renews GlaxoSmithKline deal
782099,Tech,Infosys employee numbers down by 945
782137,Tech,OS war: Can SMEs pull it for Google?
782173,Tech,Screens to improve mobile's battery
782175,Tech,Rise of IT MNCs in India
782187,Tech,5 reasons touchscreen PCs may fail
782188,Tech,Social networks and fashion trends
782189,Tech,Screens to improve mobile's battery
782191,Tech,Travelling with laptop: A checklist
782201,Tech,Tagged.com stole identities
782625,Tech,Who will be Infy's next chairman?
783487,Tech,Siemens IT arm lays off 128
783516,Tech,Infosys to hire 100 in Australia
783576,Tech,Inside Microsoft's free anti-virus
784155,Tech,Microsoft to offer free Office on Web
784163,Tech,TCS; Infosys CEOs not highest paid!
784192,Tech,6 failed tech predictions by Bill Gates
784218,Tech,How Nilekani's UID scheme will help poor
784721,Tech,Microsoft Office under attack
784769,Tech,Intel Q2 reflects tech recovery
784774,Tech,Pinkslips may fuel online crime
784785,Tech,10 execs who can replace Steve Jobs
784869,Tech,TechM opens BPO centre in Kolkata
785300,Tech,BT to take back 2;000 Desi jobs to UK
785330,Tech,LCD prices to rise: LG
785333,Tech,Govt orders special audit of pvt telcos
785854,Tech,Google Q2 revenue up 3%; beats f'cast
785861,Tech,Savita Bhabhi is alive and still at it
785874,Tech,IBM hikes full-year outlook
785883,Tech,Yahoo; Microsoft close to deal
785902,Tech,I need time; space: Nilekani
785909,Tech,7 sins of social networking
785910,Tech,Review: Samsung NC20 netbook
785911,Tech,How safe is Facebook?
785949,Tech,How a denial-of-service attack works
785959,Tech,Cisco lays off hundreds of employees
785960,Tech,Why recession sends people to Internet
785963,Tech,Puppy love on Desi dating sites
785964,Tech,5 technology goof ups to avoid
787452,Tech,TCS: Demand rising from bank clients
787465,Tech,Infosys' Finacle bags two major deals
787515,Tech,Recovery or not? 6 IT cos to reveal
787524,Tech,Highest-paid Tech Chiefs of 2008
787533,Tech,How Indian IT is fighting recession
788105,Tech,Yahoo set for a radical makeover
788136,Tech,Google offers Moon's 'guided tour'
788158,Tech,5 Desi IT cos that beat slowdown
788191,Tech,Infosys wins 10-year govt contract
788193,Tech,Man to pay Rs 10 lakh to MS; Adobe
788699,Tech,Yahoo homepage gets new features
788726,Tech,Microsoft ends financing relationship
788730,Tech,Wipro sees new projects coming
788765,Tech,A SWOT of R&D in India
788783,Tech,Beware; nude video is virus
788788,Tech,10 most memorable OSes
789301,Tech,Microsoft releases Windows 7
789347,Tech,20 things that make techies sexy
789376,Tech,Alcatel-Lucent hives off unit to Infosys
789390,Tech,8 iPhone apps that caused trouble
789890,Tech,Microsoft profit falls 29%
789901,Tech,Microsoft sees no quick recovery
789907,Tech,What Microsoft; Google; Nokia killed
789945,Tech,Inside the homes of tech czars!
789956,Tech,No cost-cutting in critical areas: Infy
789966,Tech,Bill Gates: US curbs on talent a mistake
789970,Tech,How deleted email can come back
789971,Tech,Fighting Al Qaeda with remote control
789972,Tech,PC monitor buying guide
789973,Tech,In pics: Nokia's 8MP phone N86
790482,Tech,Gates: Indian IT cos need to add value
790491,Tech,Sony to invest $1 bn in Sharp unit
791437,Tech,Bill Gates: Networking sites are irritating
791442,Tech,Microsoft to offer browser choice
791458,Tech,Status report on Indian IT hikes
791503,Tech,6 Corrupt IT CEOs
791507,Tech,IBM to offer IT education tourism
792037,Tech,Wipro bags 5-year deal from BJ's
792110,Tech,Court rules against techies in H-1B case
792125,Tech,Infosys; TCS; Wipro stocks: Time to buy?
792620,Tech,Microsoft; Yahoo near search deal
792691,Tech,IT-BPO exports growth to dip to 4%
792708,Tech,20 Biggest IT employers in India
792711,Tech,Infosys promises fairness in UIAI deal
793236,Tech,How Microsoft; Yahoo deal will work
793285,Tech,Infosys to start hiring from next year
793312,Tech,Microsoft-Yahoo deal: How it will work
793352,Tech,Capgemini cuts sales target
793873,Tech,Chip industry bouncing back
793896,Tech,Made in China iPhone Nano
793931,Tech,In pics: HTC myTouch 3G
793933,Tech,App to rate your sexual performance
793934,Tech,8 tech etiquette tips for job seekers
793935,Tech,Pressing Ctrl+C? Think twice
793938,Tech,What makes New York top city for singles
793939,Tech,Virtual education... for free!
793942,Tech,Indian IT Inc targets $54 bn exports
793944,Tech,Will Bing replace Yahoo Search?
795516,Tech,Dell gets notice for over pricing
795529,Tech,How Microsoft is cutting costs
795543,Tech,Bharti-MTN: How the deal may go
795548,Tech,TCS; Wipro eyeing $522 mn rail deal
795558,Tech,10 most confusing tech jargons
796090,Tech,Worst US cities for IT pros
796095,Tech,Google CEO quits Apple board
796101,Tech,Satyam winning new deals
796154,Tech,Infy BPO bags 5-year T-Mobile UK deal
796173,Tech,Tech CEOs with biggest perks
796193,Tech,How to run a PC without anti-virus
796335,Tech,IBM to double consulting staff in China
797156,Tech,Indian IT's top acquisitions
797161,Tech,Microsoft to hire 400 Yahoo employees
797172,Tech,MindTree to cut 15% salary of R&D staff
797182,Tech,10 riskiest outsourcing locations
797240,Tech,6 things that are worrying Microsoft
797827,Tech,Infosys bags Colombian bank deal
797870,Tech,Ex-employees sue HP on unpaid incentives
797884,Tech,More layoffs at IBM
797888,Tech,Little-known facts about Steve Jobs
797890,Tech,8-step guide to get rid of spam
797892,Tech,Review: Sony Ericsson W995
797893,Tech,Samsung's new phone is made of corn!
797894,Tech,Job seekers: Here's what not to post
797898,Tech,10 turning points in tech history
799461,Tech,HP slashes EDS employees' salary by 30%
799467,Tech,Technology's 12 biggest holy shrines
799496,Tech,IBM layoffs to touch 16;000
799511,Tech,L&T Infotech opens centre in Mumbai
800039,Tech,Facebook buys FriendFeed
800077,Tech,IT cos' answer to swine flu
800087,Tech,Talent; a big challenge for IT companies
800122,Tech,Google's new search engine; Caffeine
800638,Tech,MphasiS to buy AIG's IT services arm
800664,Tech,In pics: Samsung's low-cost touch phone
800687,Tech,Facebook going Lite to take on Twitter
800699,Tech,20;000 H-1B visas still remaining
800745,Tech,India's 15 biggest IT companies
801260,Tech,Microsoft banned from selling Word
801295,Tech,First look: Google Earth's Desi rival
801346,Tech,Samsung launches Omnia HD in India
801349,Tech,How LinkedIn; Twitter can get you job
801350,Tech,9 tech CEOs of Tomorrow
801351,Tech,Shared PCs breed; spread germs
801352,Tech,A buyers' guide to external hard drives
801357,Tech,Infosys seeing revival signs
803004,Tech,HCL & Wipro: Meeting 'future CEOs'
803011,Tech,TCS took my idea: IT pro
803043,Tech,TCS sees revival of Asian economies
803054,Tech,IBM proposes cut in pension
803625,Tech,TCS bags Avaya IT deal
803630,Tech,Nokia sees global economy reviving
803643,Tech,World's 10 Fastest-growing IT cos
804114,Tech,Microsoft seeks stay on Word ban
804118,Tech,HP may shut parts of outsourcing biz
804175,Tech,Narayana Murthy to join NPCI board
804182,Tech,In pics: Samsung Omnia HD and Pro
804192,Tech,Infosys bids for over 10 govt deals
804654,Tech,Silicon Valley's 6 hottest startups
804708,Tech,100 most dangerous websites for your PC
804712,Tech,Apple and Palm's fight over employees
804725,Tech,Infosys tries hard to shed US dependence
805188,Tech,6 disappointments in Desi Google Earth
805202,Tech,Accenture to lay off over 300 senior execs
805216,Tech,Twitter to show whereabouts of tweeters
805278,Tech,Highest-paid tech chiefs of 2008
805279,Tech,UID could become your mobile number too!
805284,Tech,Job hunting? What not to post on Facebook
805285,Tech,Tech's 7 Most Powerful Women
805286,Tech,Inside Sony Ericsson's new music phones
805287,Tech,Now; a game to fight Swine flu
805289,Tech,How LED displays are changing
805290,Tech,Hottest next-gen PCs in the market
806568,Tech,BT scraps graduate recruitment programme
806600,Tech,Prominent broker in Satyam scam
806648,Tech,8 biggest tech blunders
806659,Tech,Nokia to soon launch 3G Netbook
807144,Tech,In pics: Nokia touch phone; 5530 XM
807162,Tech,All is not well at Honeywell; Accenture
807175,Tech,Website to help techies battling recession
807216,Tech,Find your city's popular online hangouts
